node_count, generation, fitness, population
393,0,3.30011220381493e-05,0
393,1,4.6544100535257155e-05,0
393,2,4.6544100535257155e-05,0
393,3,4.6544100535257155e-05,0
393,4,4.6544100535257155e-05,0
393,5,4.6544100535257155e-05,0
393,6,4.6544100535257155e-05,0
393,7,4.6544100535257155e-05,0
393,8,4.6544100535257155e-05,0
393,9,4.6544100535257155e-05,0
393,10,4.6544100535257155e-05,0
393,11,5.641430666817105e-05,0
393,12,5.641430666817105e-05,0
393,13,5.641430666817105e-05,0
393,14,5.641430666817105e-05,0
393,15,5.641430666817105e-05,0
393,16,5.641430666817105e-05,0
393,17,5.641430666817105e-05,0
393,18,5.641430666817105e-05,0
393,19,5.9382422802850356e-05,0
393,20,5.9382422802850356e-05,0
393,21,5.9382422802850356e-05,0
393,22,5.9382422802850356e-05,0
393,23,5.9382422802850356e-05,0
393,24,5.9382422802850356e-05,0
393,25,5.9382422802850356e-05,0
393,26,5.9382422802850356e-05,0
393,27,5.9382422802850356e-05,0
393,28,5.9382422802850356e-05,0
393,29,5.9382422802850356e-05,0
393,30,5.9382422802850356e-05,0
393,31,5.9382422802850356e-05,0
393,32,5.9382422802850356e-05,0
393,33,5.9382422802850356e-05,0
393,34,5.9382422802850356e-05,0
393,35,5.9382422802850356e-05,0
393,36,5.9382422802850356e-05,0
393,37,5.9382422802850356e-05,0
393,38,5.9382422802850356e-05,0
393,39,5.9382422802850356e-05,0
393,40,5.9382422802850356e-05,0
393,41,5.9382422802850356e-05,0
393,42,5.9382422802850356e-05,0
393,43,5.9382422802850356e-05,0
393,44,5.9382422802850356e-05,0
393,45,5.9382422802850356e-05,0
393,46,6.212337702677517e-05,0
393,47,6.212337702677517e-05,0
393,48,6.212337702677517e-05,0
393,49,6.212337702677517e-05,0
151,0,0.00026001040041601667,1
151,1,0.00026001040041601667,1
151,2,0.00026001040041601667,1
151,3,0.00026001040041601667,1
151,4,0.00026001040041601667,1
151,5,0.00026001040041601667,1
151,6,0.00026001040041601667,1
151,7,0.00040966816878328555,1
151,8,0.00040966816878328555,1
151,9,0.00040966816878328555,1
151,10,0.00040966816878328555,1
151,11,0.00040966816878328555,1
151,12,0.00040966816878328555,1
151,13,0.00048123195380173246,1
151,14,0.00048123195380173246,1
151,15,0.0005652911249293386,1
151,16,0.0005652911249293386,1
151,17,0.0005652911249293386,1
151,18,0.0007027406886858749,1
151,19,0.0007027406886858749,1
151,20,0.0007027406886858749,1
151,21,0.0007027406886858749,1
151,22,0.0007027406886858749,1
151,23,0.0007027406886858749,1
151,24,0.0007027406886858749,1
151,25,0.0007027406886858749,1
151,26,0.0007027406886858749,1
151,27,0.0007027406886858749,1
